rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9648742285323794,0.0009236162329866824,8.530669458365095e-07,0.9826649359170327,0.0005376504893779872,2.890680487283892e-07,0.9648742285323794,0.0009236162329866824,8.530669458365095e-07,0.972119273174933,0.0007873876872247615,6.199793699931588e-07,0.5502857487408243,0.020060163301892885,0.00040241015169861,0.8921279895835612,0.013616853288106748,0.00018541869346982358,0.6186900977553312,0.01318532212347119,0.00017385271949969878,0.006014218495115883,0.0005427236500374145,2.945489603099339e-07,0.035125771467620664,0.000923616232986671,8.530669458364885e-07,0.00274266599751577,5.015206435969568e-05,2.5152295595390576e-09,0.10787201041643886,0.013616853288106821,0.00018541869346982553,0.8968999068818458,0.0023054837538497275,5.31525533926503e-06,0.9863807125909403,0.0004547738762824485,2.068192785489638e-07,0.00017585926292118347,6.051905116407892e-06,3.662555553800402e-11,0.01215672492980957,0.0013580767304951914,1.8443724059125088e-06,70.92893028259277,2.4409262752984775,5.958121081442499
2,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9596526694014171,0.001098062845810267,1.205742013348942e-06,0.9815663205533008,0.0005478649925837644,3.001560500988082e-07,0.9596526694014171,0.001098062845810267,1.205742013348942e-06,0.9685858162041704,0.0009043846313211019,8.179115613698054e-07,0.5255401090350948,0.02667099570220038,0.0007113420117467912,0.8945337066219669,0.015614804012456327,0.00024382210434742223,0.5981063675995055,0.01846056385553126,0.0003407924178641472,0.004891297479475433,0.0004950567539788623,2.4508118966008785e-07,0.04034733059858293,0.0010980628458102826,1.2057420133489765e-06,0.003015908538537224,5.47437420359525e-05,2.9968772920989127e-09,0.10546629337803315,0.015614804012456391,0.00024382210434742424,0.8840724087925906,0.0026344770345533767,6.940469245589154e-06,0.9878120757328339,0.0003765369297719126,1.4178005948205822e-07,0.00017286750466097837,1.6453515213906482e-06,2.7071816289425204e-12,0.010811901092529297,0.0008928360152661279,7.971561501562974e-07,69.72227020263672,0.6635973834329905,0.44036148729911134
3,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9646476139127085,0.0010130959757567676,1.026363456094557e-06,0.9824702171942687,0.0005678057317643557,3.224033490244555e-07,0.9646476139127085,0.0010130959757567676,1.026363456094557e-06,0.9718904282844791,0.0008303081812811398,6.894116759023942e-07,0.5204905789071782,0.012104727452583468,0.00014652442670132784,0.8921432581293466,0.014015556621998545,0.00019643582742444728,0.5920522199261204,0.012526493805873846,0.00015691304706859583,0.006340461198061495,0.0005672376331981342,3.2175853251622096e-07,0.03535238608729162,0.0010130959757567713,1.0263634560945647e-06,0.002779523152356875,6.477272425123861e-05,4.1955058069269945e-09,0.10785674187065344,0.014015556621998564,0.00019643582742444782,0.8962545059669944,0.0025518652460931723,6.512016234218167e-06,0.9862029472915486,0.0005740970576366241,3.295874315870293e-07,3.3328127158510884e-05,2.501145536537153e-06,6.255728994939721e-12,0.011709451675415039,0.0013761750871627589,1.8938578705274267e-06,13.44216046333313,1.0087861637751792,1.0176495242242425
4,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9556514577050172,0.0010710895976025025,1.1472329260922906e-06,0.9808475096719438,0.0004582772590101936,2.1001804612589607e-07,0.9556514577050172,0.0010710895976025025,1.1472329260922906e-06,0.9659370864485533,0.0008362372728767229,6.992927765482987e-07,0.5110641651791973,0.02691229599325268,0.0007242716756284442,0.8936199549597056,0.021749445091767388,0.0004730383617998045,0.5852956358104798,0.01886326746452204,0.00035582285943809566,0.004263607806153981,0.00038831257671814625,1.507866572374862e-07,0.044348542294982744,0.0010710895976024993,1.1472329260922838e-06,0.003240810006742448,6.446431822872344e-05,4.155648324694126e-09,0.10638004504029427,0.021749445091767437,0.0004730383617998067,0.8745467345268579,0.0025256581917169037,6.3789493013867e-06,0.9887316089476178,0.0003035669446545412,9.215288988689328e-08,0.00017295576356044496,1.2089446295276475e-06,1.4615471172637411e-12,0.012106895446777344,0.00165745128077043,2.747144748127539e-06,69.75786800384522,0.48767012371146273,0.23782214956075337
5,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.952382652773595,0.0012774984526457373,1.6320022965122528e-06,0.980221661928935,0.0004015326714335871,1.61228486228593e-07,0.952382652773595,0.0012774984526457373,1.6320022965122528e-06,0.9637527306400309,0.0009084761183919632,8.253288576885283e-07,0.5005217940106657,0.026557712878528397,0.0007053121133383531,0.8968257624264471,0.019955474281342263,0.00039822095379331247,0.5760452550197586,0.019023182535814885,0.0003618814737909324,0.0038382261322362117,0.000446916647114591,1.997344894681479e-07,0.04761734722640487,0.001277498452645759,1.6320022965123085e-06,0.0034303715572427383,8.019138194687046e-05,6.430657738548861e-09,0.10317423757355282,0.019955474281342294,0.00039822095379331377,0.8669598418398682,0.0029378546892180673,8.630990174960588e-06,0.9894632029389367,0.00028331797816430547,8.026907675110988e-08,0.00017362219717719272,1.93010338894887e-06,3.725299092031913e-12,0.011405611038208007,0.0009538360786338134,9.098032649035304e-07,70.02665824890137,0.7783996259741061,0.6059059777166282
6,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9595629162124133,0.0012405608228918642,1.5389911552941392e-06,0.9814705802385365,0.0005551332860608422,3.0817296529270885e-07,0.9595629162124133,0.0012405608228918642,1.5389911552941392e-06,0.9684785718111198,0.0009560510644519008,9.140336378396125e-07,0.4960780978717607,0.009813977463520186,9.631415365448211e-05,0.8948281029668186,0.015827979103852655,0.0002505249225119963,0.5708003168016509,0.010295237828187713,0.00010599192193894727,0.005093767802552374,0.0005171976900971619,2.6749345064183995e-07,0.04043708378758659,0.0012405608228918718,1.538991155294158e-06,0.0030353901060092637,6.732480037726176e-05,4.532628745838146e-09,0.1051718970331813,0.015827979103852717,0.0002505249225119983,0.8838060266185428,0.0029826834231001307,8.896400402436314e-06,0.9876707809976258,0.00046887720864762677,2.198458367891901e-07,3.957786032591331e-05,6.93324901994675e-06,4.806994197259257e-11,0.012061309814453126,0.001234132412904826,1.523082812582288e-06,15.9628502368927,2.7963645477007484,7.819654683637611
7,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9493627767782188,0.001342252356929222,1.8016413896820514e-06,0.9796054365815013,0.0004435332480076719,1.9672174208823497e-07,0.9493627767782188,0.001342252356929222,1.8016413896820514e-06,0.9617158107209842,0.0009496298440991582,9.017968408037915e-07,0.48751064581908105,0.021447449535597397,0.00045999309158199704,0.8938511230945665,0.02200553323674427,0.00048424349303345676,0.5657888834671619,0.016290192937020703,0.0002653703859253592,0.0036457756274064514,0.0004989340386163206,2.4893517488999204e-07,0.050637223221781116,0.001342252356929231,1.8016413896820755e-06,0.003618866589945838,8.853513099854524e-05,7.838469420929567e-09,0.10614887690543354,0.022005533236744243,0.00048424349303345557,0.8600538505629407,0.0030241421217604056,9.145435572605527e-06,0.9900736663834582,0.000287914843589711,8.289495715928777e-08,0.00017680718530463344,1.9714409331084685e-06,3.88657935273559e-12,0.012471437454223633,0.001331133342578218,1.7719159757234593e-06,71.31125259399414,0.795082891658564,0.6321568046081438
8,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9553529411851868,0.0011750865926373794,1.3808285001961263e-06,0.9806957814379539,0.000506883288608837,2.5693066827090956e-07,0.9553529411851868,0.0011750865926373794,1.3808285001961263e-06,0.9656832729256735,0.0008843774825143634,7.821235315784432e-07,0.47585403740474985,0.010955410535452525,0.00012002102000030418,0.894410721501473,0.018292566147053775,0.0003346179762443378,0.5516703358274623,0.010900230078320508,0.00011881501576032313,0.004478269340044943,0.00042635501350731463,1.8177859754282246e-07,0.04464705881481326,0.0011750865926373674,1.3808285001960985e-06,0.003275021876990547,6.928371316220794e-05,4.8002329095431056e-09,0.10558927849852695,0.018292566147053768,0.0003346179762443375,0.8737814408297107,0.0027586377762094804,7.610082380329987e-06,0.988632924562786,0.0003991662086291845,1.5933366211139768e-07,4.644069362370162e-05,8.996464747712945e-07,8.093637795684175e-13,0.013177967071533203,0.0015551911473678883,2.418619504851449e-06,18.7308228969574,0.3628594535337424,0.13166698301880614
9,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9442755995919562,0.0011727241882466505,1.3752820216987654e-06,0.9786938020628331,0.0004977399194931174,2.47745027457015e-07,0.9442755995919562,0.0011727241882466505,1.3752820216987654e-06,0.9583386469603635,0.0008433701616794135,7.112732296111601e-07,0.47190851987662025,0.022969515875928156,0.0005275986595745157,0.8918926595379479,0.0201151317265543,0.00040461852437663145,0.5512322938600658,0.018731305666276264,0.0003508618119634733,0.003374494472839596,0.0005774492053689991,3.3344758478128846e-07,0.0557244004080439,0.0011727241882466112,1.3752820216986733e-06,0.003939926325392232,7.661238920027451e-05,5.869458178974339e-09,0.10810734046205203,0.0201151317265543,0.00040461852437663145,0.8487255996814594,0.0025173061588453977,6.33683029736097e-06,0.9909382708977887,0.00027618475991907635,7.627802161155785e-08,0.0001749196383384938,4.426746857409712e-06,1.9596087739586763e-11,0.013685131072998047,0.004850022014001046,2.3522713536294763e-05,70.54995355606079,1.7854623811148818,3.187875914376423
10,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9519328945033088,0.0012082339186158663,1.4598292020938517e-06,0.9800295316326567,0.0003973033080675045,1.578499186013824e-07,0.9519328945033088,0.0012082339186158663,1.4598292020938517e-06,0.9633913888991618,0.0008378960185896712,7.020697379684228e-07,0.4644392645418839,0.011502186053213658,0.0001323002840027428,0.8943572535369553,0.018130344580854815,0.0003287093946205315,0.5414528871790429,0.011716624833508145,0.00013727929748917975,0.004030357179891717,0.0004727177097022268,2.2346203306611876e-07,0.04806710549669106,0.0012082339186158574,1.4598292020938301e-06,0.003473164178438852,7.645051844158486e-05,5.844681769987106e-09,0.10564274646304476,0.018130344580854833,0.0003287093946205322,0.8658503119975183,0.0027656142280182354,7.6486220582169e-06,0.9893574040423149,0.00041954694323649024,1.7601963757908277e-07,4.153092153711089e-05,3.728176599969273e-06,1.3899300760558447e-11,0.011692285537719727,0.0015373390546112827,2.3634113688331126e-06,16.750575971603393,1.5036875814686563,2.261076342663057
11,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9488956629471085,0.0013733397783351148,1.886062146757542e-06,0.979458415709281,0.00047194209587805006,2.2272934186176658e-07,0.9488956629471085,0.0013733397783351148,1.886062146757542e-06,0.9613574979789427,0.0009350442132438801,8.743076807208667e-07,0.455694701688778,0.011247323024304829,0.00012650227521305752,0.8969686527856255,0.01941047026550579,0.0003767663559280844,0.533638347329258,0.011488877036733245,0.00013199429556517644,0.0037295515288506553,0.0005269055001891625,2.776294061295915e-07,0.051104337052891524,0.0013733397783350883,1.8860621467574695e-06,0.0036555925721161453,8.847312902334351e-05,7.827494559181188e-09,0.10303134721437432,0.019410470265505797,0.0003767663559280847,0.8589571086492421,0.003073895863652654,9.448835780580894e-06,0.9899661196544285,0.0004088553094426757,1.671626640594661e-07,4.4233542016327066e-05,1.3399707450014463e-06,1.7955215974597309e-12,0.012533330917358398,0.001860031354699092,3.459716640463739e-06,17.840616941452026,0.5404372790850617,0.2920724526248648
12,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.9436498059237834,0.0013388904876046157,1.7926277377981256e-06,0.9785164149272119,0.0005643449616621197,3.1848523575341936e-07,0.9436498059237834,0.0013388904876046157,1.7926277377981256e-06,0.9578764028148434,0.0009359340522405003,8.759725501433234e-07,0.4424048976612309,0.011751769679088305,0.00013810409059033924,0.8971075407421386,0.01930693281123865,0.0003727576545776836,0.521235648665852,0.012683934987008517,0.00016088220675465875,0.003339621957873011,0.0005642008531357826,3.1832260267914485e-07,0.05635019407621657,0.0013388904876046129,1.7926277377981178e-06,0.003979321068939305,8.457436219483987e-05,7.152822740663959e-09,0.10289245925786136,0.019306932811238603,0.00037275765457768175,0.8473395949722029,0.0028627274631939435,8.195208528524831e-06,0.9908248348091749,0.00039633496129782853,1.5708140154695122e-07,4.4915722517603214e-05,2.595986476787449e-06,6.739145787663314e-12,0.011971282958984374,0.00145210282919266,2.1086026265493276e-06,18.115759325027465,1.047029081985772,1.0962698985239685
